Filter_type,Biological_rep,qPCR_rep,Detection,Cq,Copies,Copies_plus,Log_copiesplus,Log_copiesplus_1,Ave_Cq,Ave_copies,Log_ave_copies,Det_rate,Turbidity,Prefilter,Filtr_vol,Tank_water,Type
PC5,C,3,1,39.9,3.37,3.47,0.54,1.54,38.84,6.86,0.84,0.8333,50,No,200,500,50 NTU
PC5,C,4,1,38.06,11.62,11.72,1.07,2.07,38.84,6.86,0.84,0.8333,50,No,200,500,50 NTU
PC5,C,5,1,38.29,9.95,10.05,1.00,2.00,38.84,6.86,0.84,0.8333,50,No,200,500,50 NTU
PC5,C,6,0,NA,0,0.10,-1.00,0.00,38.84,6.86,0.84,0.8333,50,No,200,500,50 NTU
PC5,A,1,0,NA,0,0.10,-1.00,0.00,38.12,11.19,1.05,0.3333,50,Yes,200,500,50 NTU - PF
PC5,A,2,1,37.03,23.23,23.33,1.37,2.37,38.12,11.19,1.05,0.3333,50,Yes,200,500,50 NTU - PF
PC5,A,3,0,NA,0,0.10,-1.00,0.00,38.12,11.19,1.05,0.3333,50,Yes,200,500,50 NTU - PF
PC5,A,4,1,37.48,17.16,17.26,1.24,2.24,38.12,11.19,1.05,0.3333,50,Yes,200,500,50 NTU - PF
PC5,A,5,1,39.41,4.68,4.78,0.68,1.68,38.12,11.19,1.05,0.3333,50,Yes,200,500,50 NTU - PF
PC5,A,6,1,38.54,8.41,8.51,0.93,1.93,38.12,11.19,1.05,0.3333,50,Yes,200,500,50 NTU - PF
PC5,B,1,1,38.15,10.93,11.03,1.04,2.04,36.55,32.05,1.51,1,50,Yes,200,500,50 NTU - PF
PC5,B,2,1,37.76,14.21,14.31,1.16,2.16,36.55,32.05,1.51,1,50,Yes,200,500,50 NTU - PF
PC5,B,3,1,35.79,53.52,53.62,1.73,2.73,36.55,32.05,1.51,1,50,Yes,200,500,50 NTU - PF
PC5,B,4,1,36.01,46.15,46.25,1.67,2.67,36.55,32.05,1.51,1,50,Yes,200,500,50 NTU - PF
PC5,B,5,1,35.28,75.43,75.53,1.88,2.88,36.55,32.05,1.51,1,50,Yes,200,500,50 NTU - PF
PC5,B,6,1,36.32,37.46,37.56,1.57,2.57,36.55,32.05,1.51,1,50,Yes,200,500,50 NTU - PF
PC5,C,1,1,35.26,76.45,76.55,1.88,2.88,36.05,44.98,1.65,1,50,Yes,200,500,50 NTU - PF
PC5,C,2,1,36.21,40.34,40.44,1.61,2.61,36.05,44.98,1.65,1,50,Yes,200,500,50 NTU - PF
PC5,C,3,1,36.24,39.53,39.63,1.60,2.60,36.05,44.98,1.65,1,50,Yes,200,500,50 NTU - PF
PC5,C,4,1,36.37,36.22,36.32,1.56,2.56,36.05,44.98,1.65,1,50,Yes,200,500,50 NTU - PF
